Date,humidity,precipitation,pressure,temperature,wind-speed,co,so2,pm25,pm10,o3,no2,aqi_co,aqi_so2,aqi_pm25,aqi_pm10,aqi_o3_1,aqi_no2,AQI_total
2019-03-14,16.0,,1013.0,10.2,2.0,0.34,0.0029,38.0,10.0,0.0296,0.013900000000000001,4,4,95,9,0,0,95
2019-03-15,16.0,,1017.0,12.2,2.0,0.34,0.0029,55.0,15.0,0.032,0.0158,4,4,130,14,0,0,130
2019-03-16,16.0,,1009.0,9.9,1.8,0.34,0.0015,65.0,20.0,0.0312,0.0149,4,2,149,19,0,0,149
2019-03-17,16.0,,1013.0,10.1,2.0,0.22999999999999998,0.0029,46.0,12.0,0.0344,0.008400000000000001,3,4,112,11,0,0,112
2019-03-18,17.0,,1017.0,8.3,2.0,0.34,0.0029,30.0,9.0,0.032799999999999996,0.0121,4,4,80,8,0,0,80
2019-03-19,16.0,,1017.0,8.3,0.8,0.34,0.0029,53.0,14.0,0.0216,0.024100000000000003,4,4,126,13,0,0,126
2019-03-20,11.3,,1017.1,10.1,1.3,0.34,0.0029,59.0,18.0,0.0312,0.020399999999999998,4,4,137,17,0,0,137
2019-03-21,12.0,,1006.0,14.7,2.2,0.34,0.0029,38.0,13.0,0.0376,0.0075,4,4,95,12,0,0,95
2019-03-22,12.3,,1001.3,11.6,2.0,0.34,0.0015,30.0,10.0,0.032799999999999996,0.010199999999999999,4,2,80,9,0,0,80
2019-03-23,15.0,,1010.8,6.6,1.6,0.22999999999999998,0.0015,30.0,8.0,0.032,0.008400000000000001,3,2,80,7,0,0,80
2019-03-24,15.3,,1014.2,6.1,1.0,0.34,0.0015,38.0,10.0,0.032,0.009300000000000001,4,2,95,9,0,0,95
2019-03-25,35.0,,1015.8,12.8,1.6,0.34,0.0029,53.0,14.0,0.0264,0.0167,4,4,126,13,0,0,126
2019-03-26,39.0,,1010.0,12.4,1.4,0.45,0.0029,68.0,22.0,0.016800000000000002,0.0297,5,4,152,20,0,0,152
2019-03-27,24.6,,1009.0,16.2,2.0,0.34,0.0029,59.0,19.0,0.040799999999999996,0.0121,4,4,137,18,0,0,137
2019-03-28,30.6,,1005.8,14.9,2.0,0.34,0.0015,46.0,13.0,0.041600000000000005,0.0112,4,2,112,12,0,0,112
2019-03-29,40.6,,1016.0,8.3,2.0,0.34,0.0029,42.0,11.0,0.0289,0.013000000000000001,4,4,104,10,0,0,104
2019-03-30,61.8,,1013.0,9.4,1.3,0.34,0.0015,63.0,20.0,0.020800000000000003,0.0158,4,2,145,19,0,0,145
2019-03-31,39.0,,1005.2,11.9,1.1,0.22999999999999998,0.0015,61.0,19.0,0.032,0.010199999999999999,3,2,141,18,0,0,141
2019-04-01,33.8,,1011.0,9.4,2.0,0.34,0.0015,25.0,7.0,0.0344,0.0112,4,2,70,6,0,0,70
2019-04-02,31.0,,1013.4,8.0,2.0,0.34,0.0015,38.0,10.0,0.0344,0.010199999999999999,4,2,95,9,0,0,95
2019-04-03,16.0,,1013.0,10.0,2.0,0.22999999999999998,0.0015,46.0,11.0,0.0344,0.009300000000000001,3,2,112,10,0,0,112
2019-04-04,18.8,,1012.4,13.8,2.0,0.34,0.0029,57.0,15.0,0.0312,0.0195,4,4,133,14,0,0,133
2019-04-05,22.6,,1004.9,16.6,2.0,0.34,0.0029,57.0,17.0,0.0361,0.018600000000000002,4,4,133,16,0,0,133
2019-04-06,26.3,,1005.1,16.5,1.8,0.34,0.0029,59.0,20.0,0.0448,0.0121,4,4,137,19,0,0,137
2019-04-07,16.0,,1004.0,16.6,1.5,0.34,0.0029,57.0,20.0,0.0352,0.010199999999999999,4,4,133,19,0,0,133
2019-04-08,57.1,,1008.6,11.4,1.8,0.34,0.0029,46.0,14.0,0.032799999999999996,0.0121,4,4,112,13,0,0,112
2019-04-09,25.5,,1016.8,12.5,2.0,0.34,0.0015,25.0,7.0,0.032799999999999996,0.009300000000000001,4,2,70,6,0,0,70
2019-04-10,72.0,,1014.5,6.3,1.6,0.34,0.0015,34.0,8.0,0.0184,0.018600000000000002,4,2,87,7,0,0,87
2019-04-11,38.0,,1006.6,11.5,3.3,0.22999999999999998,0.0015,17.0,4.0,0.032,0.0075,3,2,54,4,0,0,54
2019-04-12,36.8,,1016.3,10.2,1.5,0.34,0.0015,34.0,10.0,0.0296,0.013900000000000001,4,2,87,9,0,0,87
2019-04-13,27.6,,1020.0,13.8,2.0,0.34,0.0029,46.0,12.0,0.0361,0.013900000000000001,4,4,112,11,0,0,112
2019-04-15,28.0,,1007.4,16.1,2.3,0.22999999999999998,0.0015,30.0,10.0,0.04,0.0075,3,2,80,9,0,0,80
2019-04-16,16.0,,1016.1,16.6,2.0,0.34,0.0029,42.0,11.0,0.0424,0.0112,4,4,104,10,0,0,104
2019-04-17,27.8,,1015.6,16.6,2.0,0.34,0.0029,50.0,15.0,0.033600000000000005,0.0195,4,4,120,14,0,0,120
2019-04-18,44.3,,1011.5,16.6,2.0,0.34,0.0029,55.0,17.0,0.039200000000000006,0.0176,4,4,130,16,0,0,130
2019-04-19,50.3,,1009.2,17.4,2.0,0.34,0.0029,63.0,21.0,0.044,0.0158,4,4,145,19,0,0,145
2019-04-20,29.2,,1013.1,15.5,2.6,0.34,0.0029,46.0,15.0,0.0352,0.009300000000000001,4,4,112,14,0,0,112
2019-04-21,62.0,,1011.4,18.5,1.5,0.22999999999999998,0.0029,57.0,20.0,0.0352,0.009300000000000001,3,4,133,19,0,0,133
2019-04-22,55.5,,1012.9,19.0,2.0,0.34,0.0029,70.0,28.0,0.04,0.0158,4,4,154,26,0,0,154
2019-04-23,47.5,,1020.0,18.8,2.0,0.34,0.0029,55.0,20.0,0.0424,0.0112,4,4,130,19,0,0,130
2019-04-24,68.6,,1016.3,19.5,2.0,0.34,0.0029,59.0,25.0,0.024800000000000003,0.013000000000000001,4,4,137,23,0,0,137
2019-04-25,73.0,,1004.3,20.9,1.6,0.34,0.0029,42.0,15.0,0.0233,0.0167,4,4,104,14,0,0,104
2019-04-26,93.0,,1005.8,11.5,2.2,0.34,0.0029,30.0,10.0,0.0264,0.0121,4,4,80,9,0,0,80
2019-04-27,63.5,,1008.1,11.1,2.0,0.34,0.0015,17.0,6.0,0.0272,0.0075,4,2,54,6,0,0,54
2019-04-28,33.5,,1019.2,14.1,2.3,0.34,0.0015,21.0,6.0,0.0368,0.006500000000000001,4,2,62,6,0,0,62
2019-04-29,45.0,,1020.0,16.2,2.0,0.34,0.0029,25.0,8.0,0.033600000000000005,0.009300000000000001,4,4,70,7,0,0,70
2019-04-30,92.0,,1014.2,15.0,2.3,0.34,0.0015,21.0,9.0,0.032,0.009300000000000001,4,2,62,8,0,0,62
2019-05-01,77.6,,1000.5,17.5,1.3,0.34,0.0015,13.0,5.0,0.0344,0.006500000000000001,4,2,42,5,0,0,42
2019-05-02,37.6,,1005.5,18.1,1.5,0.34,0.0029,34.0,11.0,0.0312,0.0112,4,4,87,10,0,0,87
2019-05-03,26.5,,1013.4,18.8,1.8,0.34,0.0029,50.0,14.0,0.0312,0.0121,4,4,120,13,0,0,120
2019-05-04,44.1,,1017.5,17.5,2.0,0.34,0.0015,53.0,18.0,0.0368,0.008400000000000001,4,2,126,17,0,0,126
2019-05-05,41.0,,1019.0,19.4,2.0,0.34,0.0029,46.0,13.0,0.04,0.010199999999999999,4,4,112,12,0,0,112
2019-05-06,49.8,,1012.2,18.8,2.6,0.22999999999999998,0.0029,34.0,10.0,0.041600000000000005,0.0056,3,4,87,9,0,0,87
2019-05-07,19.1,,1007.5,16.3,2.0,0.22999999999999998,0.0015,21.0,6.0,0.0376,0.008400000000000001,3,2,62,6,0,0,62
2019-05-08,16.0,,1009.0,17.3,3.0,0.22999999999999998,0.0015,34.0,10.0,0.0384,0.0112,3,2,87,9,0,0,87
2019-05-09,16.0,,1005.1,18.8,2.0,0.22999999999999998,0.0015,34.0,10.0,0.039200000000000006,0.0112,3,2,87,9,0,0,87
2019-05-10,19.5,,1009.9,20.8,2.0,0.34,0.0029,63.0,20.0,0.0507,0.0213,4,4,145,19,0,0,145
2019-05-11,17.1,,1009.0,20.5,2.0,0.45,0.0043,70.0,24.0,0.0376,0.018600000000000002,5,6,154,22,0,0,154
2019-05-12,29.4,,1013.0,17.8,3.0,0.34,0.0029,46.0,15.0,0.032,0.006500000000000001,4,4,112,14,0,0,112
2019-05-13,55.0,,1016.8,18.9,2.5,0.34,0.0029,38.0,12.0,0.0312,0.010199999999999999,4,4,95,11,0,0,95
2019-05-14,66.1,,1017.3,18.8,2.1,0.34,0.0029,38.0,12.0,0.032799999999999996,0.0112,4,4,95,11,0,0,95
2019-05-15,54.0,,1016.2,18.8,2.0,0.34,0.0029,38.0,12.0,0.0384,0.010199999999999999,4,4,95,11,0,0,95
2019-05-16,42.5,,1015.6,20.4,1.8,0.22999999999999998,0.0015,38.0,12.0,0.0344,0.013900000000000001,3,2,95,11,0,0,95
2019-05-17,49.8,,1019.0,20.6,2.0,0.22999999999999998,0.0029,42.0,13.0,0.032799999999999996,0.0121,3,4,104,12,0,0,104
2019-05-18,47.3,,1021.0,20.4,2.1,0.22999999999999998,0.0029,46.0,15.0,0.0361,0.010199999999999999,3,4,112,14,0,0,112
2019-05-19,47.6,,1020.3,20.2,2.5,0.22999999999999998,0.0029,50.0,17.0,0.04,0.006500000000000001,3,4,120,16,0,0,120
2019-05-20,56.8,,1014.7,20.5,3.0,0.22999999999999998,0.0029,50.0,19.0,0.033600000000000005,0.009300000000000001,3,4,120,18,0,0,120
2019-05-21,82.6,,1001.8,20.0,3.1,0.22999999999999998,0.0015,21.0,13.0,0.0272,0.009300000000000001,3,2,62,12,0,0,62
2019-05-22,27.0,,1001.0,18.7,2.0,0.34,0.0029,42.0,14.0,0.0304,0.0112,4,4,104,13,0,0,104
2019-05-23,16.0,,1004.0,20.5,2.0,0.34,0.0029,53.0,18.0,0.040799999999999996,0.0158,4,4,126,17,0,0,126
2019-05-24,16.0,,1009.0,21.7,2.0,0.34,0.0029,59.0,20.0,0.0456,0.0176,4,4,137,19,0,0,137
2019-05-25,13.0,,1010.5,23.4,2.0,0.45,0.0029,74.0,27.0,0.0609,0.0158,5,4,156,25,0,0,156
2019-05-26,16.0,,1012.7,24.9,2.0,0.45,0.0029,91.0,37.0,0.057100000000000005,0.0121,5,4,166,34,0,0,166
2019-05-27,16.0,,1009.0,26.1,2.6,0.45,0.0043,102.0,41.0,0.048100000000000004,0.0195,5,6,172,38,0,0,172
2019-05-28,11.5,,1000.7,24.0,4.7,0.34,0.0015,55.0,18.0,0.040799999999999996,0.008400000000000001,4,2,130,17,0,0,130
2019-05-29,33.6,,999.5,20.5,3.1,0.22999999999999998,0.0015,30.0,10.0,0.0344,0.010199999999999999,3,2,80,9,0,0,80
2019-05-30,35.0,,1012.0,21.6,2.5,0.34,0.0029,34.0,10.0,0.032,0.0112,4,4,87,9,0,0,87
